APTF,7
<<Description>>

<<Creator>>
Unknown
<<Category>>

<<Objects>>
74	C73	NGC1851	5.2350000	-40.0499992	7.30	999.00	11	0.00	Globular	NGC	1850		0	0.0000000
75	C74	NGC3132	10.1166667	-40.4333344	8.00	999.00	0.8	0.00	P Neb	NGC	3131		165	0.0000000
76	C75	NGC6124	16.4266664	-40.6666681	5.80	999.00	29	0.00	Open	NGC	6123		0	0.0000000
77	C76	NGC6231	16.8999997	-41.7999992	2.60	999.00	15	0.00	Open	NGC	6230		0	0.0000000
78	C77	NGC5128	13.4250003	-43.0166664	7.00	999.00	18.2	0.00	Galaxy	NGC	5127		35	0.0000000
79	C78	NGC6541	18.1333333	-43.7000008	6.60	999.00	13.1	0.00	Globular	NGC	6540		0	0.0000000
80	C79	NGC3201	10.2933331	-46.4166681	6.80	999.00	18.2	0.00	Globular	NGC	3200		0	0.0000000
81	C80	NGC5139	13.4466667	-47.4833336	3.70	999.00	36.3	0.00	Globular	NGC	5138		0	0.0000000
82	C81	NGC6352	17.4249992	-48.4166681	8.20	999.00	7.1	0.00	Globular	NGC	6351		0	0.0000000
83	C82	NGC6193	16.6883336	-48.7666664	5.20	999.00	15	0.00	Open	NGC	6192		0	0.0000000
84	C83	NGC4945	13.0900003	-49.4666672	9.00	999.00	20	0.00	Galaxy	NGC	4944		55	0.0000000
85	C84	NGC5286	13.7733336	-51.3666650	7.60	999.00	9.1	0.00	Globular	NGC	5285		0	0.0000000
86	C85	IC2391	8.6666667	-53.0666667	2.50	999.00	50	0.00	Open		-1		0	0.0000000
87	C86	NGC6397	17.6783333	-53.6666681	5.70	999.00	25.7	0.00	Globular	NGC	6396		0	0.0000000
88	C87	NGC1261	3.2050000	-55.2166672	8.40	999.00	6.9	0.00	Globular	NGC	1260		0	0.0000000
89	C88	NGC5823	15.0950003	-55.5999986	7.90	999.00	10	0.00	Open	NGC	5822		0	0.0000000
90	C89	NGC6087	16.3150006	-57.9000014	5.40	999.00	12	0.00	Open	NGC	6086		0	0.0000000
91	C90	NGC2867	9.3566667	-58.3166656	10.00	999.00	0.2	0.00	P Neb	NGC	2866		0	0.0000000
92	C91	NGC3532	11.1066667	-58.6666681	3.00	999.00	55	0.00	Open	NGC	3531		0	0.0000000
93	C92	NGC3372	10.7299994	-59.8666650	999.00	999.00	120	0.00	E Neb	NGC	3371		0	0.0000000
94	C93	NGC6752	19.1816672	-59.9833336	5.40	999.00	20.4	0.00	Globular	NGC	6751		0	0.0000000
95	C94	NGC4755	12.8933333	-60.3333319	4.20	999.00	10	0.00	Open	NGC	4754		0	0.0000000
96	C95	NGC6025	16.0616664	-60.5000000	5.10	999.00	12	0.00	Open	NGC	6024		0	0.0000000
97	C96	NGC2516	7.9716669	-60.8666650	3.80	999.00	30	0.00	Open	NGC	2515		0	0.0000000
98	C97	NGC3766	11.6016664	-61.6166650	5.30	999.00	12	0.00	Open	NGC	3765		0	0.0000000
99	C98	NGC4609	12.7050000	-62.9666672	6.90	999.00	5	0.00	Open	NGC	4608		0	0.0000000
100	C99	Coalsack Nebula	12.8333333	-62.5000000	999.00	999.00	400x300	0.00	DkNeb		-1		0	0.0000000
101	C100	IC2944	11.6100000	-63.0333333	4.50	999.00	75	0.00	Open		-1		0	0.0000000
102	C101	NGC6744	19.1633339	-63.8499986	9.00	999.00	15.5	0.00	Galaxy	NGC	6743		110	0.0000000
103	C102	IC2602	10.7158333	-64.3944444	1.90	999.00	50	0.00	Open		-1		0	0.0000000
104	C103	NGC2070	5.6433333	-69.0833358	8.20	999.00	40	0.00	Open	NGC	2069		0	0.0000000
105	C104	NGC362	1.0533333	-70.8499986	6.60	999.00	12.9	0.00	Globular	NGC	361		0	0.0000000
106	C105	NGC4833	12.9933328	-70.8833314	7.40	999.00	13.5	0.00	Globular	NGC	4832		0	0.0000000
107	C106	NGC104	0.4016667	-72.0833358	4.00	999.00	30.9	0.00	Globular	NGC	103		0	0.0000000
108	C107	NGC6101	16.4300003	-72.1999969	9.30	999.00	10.7	0.00	Globular	NGC	6100		0	0.0000000
109	C108	NGC4372	12.4300003	-72.6666642	7.80	999.00	18.6	0.00	Globular	NGC	4371		0	0.0000000
110	C109	NGC3195	10.1583339	-80.8666686	999.00	999.00	0.6	0.00	P Neb	NGC	3194		9	0.0000000
111	Cr399		19.4233333	20.1833333	3.55	999.00	60	0.00	Asterism	User	-1		0	0.0000000
112	HD 83950	W UMa	9.7291667	55.9525000	7.80	999.00		0.00	Var Star		-1		0	0.3000000
113	HR74	Iot Cet,8 Cet,SAO128694,HD1522	0.3238056	-8.8238889	3.56	8.36		108.80	Triple	Bright	73		-999	0.0000000
114	HR437	Eta Psc,99 Psc,SAO92484,HD9270	1.5247222	15.3458339	3.62	7.22		0.80	Dbl	Bright	436		-999	0.0000000
115	HR936	Algol	3.1361389	40.9555550	2.10	10.40		81.90	Mult+Var Star	Bright	935		-999	2.8000000
116	HR7106	Beta Lyr - Sheliak	18.8346672	33.3627778	3.50	8.70		45.70	Mult+Var Star	Bright	7105		-999	12.9000000
117	Hyades	Hyades	4.4500000	15.8666667	0.50	999.00	330'	0.00	Open		-1		0	0.0000000
118	IC418	IC418	5.4577778	-12.6972222	9.60	999.00	3.5x5.5	0.00	P Neb		-1		0	0.0000000
119	Jupiter		17.5566425	-22.6613221	-1.97	999.00	42.4"	0.00	Planet		-1		0	0.0000000
120	Kepler-410	HD175289	18.8767119	45.1398250	9.50	999.00		0.00	Star		-1		0	0.0000000	F6IV
121	M1	Crab Nebula, Taurus A	5.5755478	22.0144672	8.40	999.00	6x4	0.00	SNR	Messier	0		0	0.0000000
122	M2	NGC7089	21.5575447	-0.8231944	7.50	999.00	12.9	0.00	Globular	Messier	1		0	0.0000000
123	M3	NGC5272	13.7031392	28.3763886	7.00	999.00	16.2	0.00	Globular	Messier	2		0	0.0000000
124	M4	Cat's Eye	16.3931197	-26.5263061	7.50	999.00	26.3	0.00	Globular	Messier	3		0	0.0000000
125	M5	NGC5904	15.3093053	2.0824167	7.00	999.00	17.4	0.00	Globular	Messier	4		0	0.0000000
126	M6	Butterfly Cluster	17.6722222	-32.2533342	4.50	999.00	15	0.00	Open	Messier	5		0	0.0000000
127	M7	Scorpion's Tail, Ptolemy's Cluster	17.8974992	-34.7933350	3.50	999.00	80	0.00	Open	Messier	6		0	0.0000000
128	M8	Lagoon Nebula, Dragon Nebula	18.0614719	-24.3799992	5.00	999.00	90	0.00	Open+D Neb	Messier	7		0	0.0000000
129	M9	NGC6333	17.3199367	-18.5161667	9.00	999.00	9.3	0.00	Globular	Messier	8		0	0.0000000
130	M10	NGC6254	16.9525453	-4.0988336	7.50	999.00	15.1	0.00	Globular	Messier	9		0	0.0000000
131	M11	Wild Duck Cluster, Scutum Salt-and-Pepper Cluster	18.8513889	-6.2700000	7.00	999.00	14	0.00	Open	Messier	10		0	0.0000000
132	M12	Gumball Globular	16.7873192	-1.9476944	8.00	999.00	14.5	0.00	Globular	Messier	11		0	0.0000000
133	M13	Hercules Globular Cluster, Great Hercules Cluster	16.6947842	36.4598044	7.00	999.00	16.6	0.00	Globular	Messier	12		0	0.0000000
134	M14	NGC6402	17.6266936	-3.2452500	9.50	999.00	11.7	0.00	Globular	Messier	13		0	0.0000000
135	M15	Great Pegasus Cluster	21.4995500	12.1671667	7.50	999.00	12.3	0.00	Globular	Messier	14		0	0.0000000
136	M16	Eagle Nebula, Star Queen Nebula, The Ghost	18.3133336	-13.8066664	6.50	999.00	35	0.00	Open+D Neb	Messier	15		0	0.0000000
137	M17	Omega Nebula, Swan Nebula, Horseshoe Nebula	18.3463897	-16.1716672	7.00	999.00	46	0.00	Open+D Neb	Messier	16		0	0.0000000
138	M18	Black Swan	18.3329164	-17.1019439	8.00	999.00	9	0.00	Open	Messier	17		0	0.0000000
139	M19	NGC6273	17.0437908	-26.2676944	8.50	999.00	13.5	0.00	Globular	Messier	18		0	0.0000000
140	M20	Trifid Nebula, The Clover	18.0450000	-22.9716664	5.00	999.00	29	0.00	Open+D Neb	Messier	19		0	0.0000000
141	M21	NGC6531	18.0702781	-22.4899997	7.00	999.00	13	0.00	Open	Messier	20		0	0.0000000
142	M22	Great Sagittarius Cluster, Crackerjack Cluster	18.6067047	-23.9047775	6.50	999.00	24	0.00	Globular	Messier	21		0	0.0000000
143	M23	NGC6494	17.9511108	-18.9850006	6.00	999.00	27	0.00	Open	Messier	22		0	0.0000000
144	M24	Small Sagittarius Star Cloud	18.3072225	-18.4066658	4.50	999.00	80x35	0.00	Open	Messier	23		0	0.0000000
145	M25	M25	18.5283336	-19.1166667	6.50	999.00	40	0.00	Open	Messier	24		0	0.0000000
146	M26	NGC6694	18.7549992	-9.3833333	9.50	999.00	15	0.00	Open	Messier	25		0	0.0000000
147	M27	Dumbbell Nebula, Apple Core, Diablo, Double-headed Shot Nebula	19.9934119	22.7209167	7.50	999.00	15.2	0.00	P Neb	Messier	26		0	0.0000000
148	M28	NGC6626	18.4090978	-24.8684731	8.50	999.00	11.2	0.00	Globular	Messier	27		0	0.0000000
149	M29	Cooling Tower	20.3991661	38.5083350	9.00	999.00	7	0.00	Open	Messier	28		0	0.0000000
150	M30	NGC7099	21.6728325	-23.1791936	8.50	999.00	11	0.00	Globular	Messier	29		0	0.0000000
151	M31	Andromeda Galaxy	0.7123053	41.2689019	4.30	999.00	189.1x61.7	0.00	Galaxy	Messier	30		35	0.0000000
152	M32	Satellite Of Andromeda Galaxy	0.7116361	40.8650550	9.10	999.00	8.5x6.5	0.00	Galaxy	Messier	31		170	0.0000000
153	M33	Triangulum Galaxy, Pinwheel Galaxy	1.5641389	30.6601658	6.20	999.00	68.7x41.6	0.00	Galaxy	Messier	32		23	0.0000000
154	M34	Spiral Cluster	2.7013889	42.7616653	6.00	999.00	35	0.00	Open	Messier	33		0	0.0000000
155	M35	NGC2168	6.1500000	24.3500003	5.50	999.00	28	0.00	Open	Messier	34		0	0.0000000
156	M36	Pinwheel Cluster	5.6050000	34.1399994	6.50	999.00	12	0.00	Open	Messier	35		0	0.0000000
157	M37	Auriga Salt-and-pepper Cluster, January Salt-and-pepper Cluster	5.8716669	32.5533333	6.00	999.00	24	0.00	Open	Messier	36		0	0.0000000
158	M38	Starfish Cluster	5.4777781	35.8483314	7.00	999.00	21	0.00	Open	Messier	37		0	0.0000000
159	M39	NGC7092	21.5283336	48.4166681	5.50	999.00	32	0.00	Open	Messier	38		0	0.0000000
160	M40	Winnecke 4	12.3700000	58.0833319	8.70	999.00	1	0.00	Dbl+Asterism	Messier	39		136	0.0000000
161	M41	Little Beehive	6.7669444	-20.7566661	5.00	999.00	38	0.00	Open	Messier	40		0	0.0000000
162	M42	Great Orion Nebula, Orion A,Trapezium	5.5878778	-5.3902219	4.00	999.00	66	0.00	Open+D Neb	Messier	41		0	0.0000000
163	M43	De Mairan's Nebula (Orion Nebula Extension)	5.5920392	-5.2675000	9.00	999.00	20	0.00	D Neb	Messier	42		0	0.0000000
164	M44	Praesepe, Beehive Cluster	8.6733331	19.6666661	4.00	999.00	95	0.00	Open	Messier	43		0	0.0000000
165	M45	Pleiades, Seven Sisters, Subaru	3.7916667	24.1166667	1.60	999.00	120	0.00	Open	Messier	44		0	0.0000000
166	M46	NGC2437	7.6961111	-14.8100006	6.50	999.00	27	0.00	Open	Messier	45		0	0.0000000
167	M47	NGC2422	7.6097222	-14.4833336	4.50	999.00	30	0.00	Open	Messier	46		0	0.0000000
168	M48	NGC2548	8.2286111	-5.7500000	5.50	999.00	54	0.00	Open	Messier	47		0	0.0000000
169	M49	NGC4472,UGC7629	12.4963275	8.0002775	9.30	999.00	9.8x8.2	0.00	Galaxy	Messier	48		155	0.0000000
170	M50	Heart-shaped Cluster	7.0450000	-8.3833333	7.00	999.00	16	0.00	Open	Messier	49		0	0.0000000
171	M51	Whirlpool Galaxy, Question Mark Galaxy	13.4979028	47.1956978	8.90	999.00	10.8x6.6	0.00	Galaxy	Messier	50		163	0.0000000
172	M52	The Scorpion	23.4133339	61.5933342	8.00	999.00	13	0.00	Open	Messier	51		0	0.0000000
173	M53	NGC5024	13.2153472	18.1686669	8.50	999.00	12.6	0.00	Globular	Messier	52		0	0.0000000
