"NAME","R.A.","DEC.","MAG"
"NSV 07826147/","15 33 49","+37 59 28","14.0"
"G179-55 /","15 47 27.5","+45 7 51","6.2"
"NN Ser/","15 52 56.1","+12 54 44","6.2"
"V1024 Her/","16 10 05","+25 36 55","13.0"
"V1043 Her/","17 06 10","+49 55 23","17.0"
"HAT-192 /","16 12 07","+41 12 51","6.2"
"CM Dra/","16 34 20.4","+57 9 43","6.2"
"TrES-Her /TrES-Her0-07621","16 50 20.8","+46 39 1","14.0"
"V924 Oph/","18 33 28","+7 7 50","6.2"
"OT Lyr/","19 8 10","+29 13 41","6.2"
"T-Lyr-17236 /","19 07 16","+46 39 52","14.0"
"KIC 6464285/","19 50 41","+41 52 36","14.0"
"KIC 5300878/","19 52 20","+40 28 42","14.0"
"FP Sge/","20 14 45.8","+19 36 48","6.2"
"NSVS 14256825/","20 20 00.4","+04 37 56","14.0"
"FI Del/","20 29 16","+14 45 59","6.2"
"MR Del/","20 31 13.5","+5 13 8","6.2"
"HAT-196 /","17 58 59.3","+35 55 12","6.2"
"RX J2130/","21 30 18.5","+47 10 7","6.2"
"HS 2231/","22 34 21.5","+24 56 57","14.0"
"HAT-205 /","22 42 7.5","+39 2 43","6.2"
"V 483 And/kol003","00 20 35.3","+40 04 17","12"
"V523 Cas/","0 40 6.3","+50 14 16","10.6"
"CW Cas/","0 45 52.7","+63 5 8","11.0"
"GSC 0008-0/","0 13 22.6","+5 40 9","13.7"
"EP And/","1 42 29.3","+44 45 42","11.4"
"SS Ari/","2 4 14.5","+23 59 24","10.3"
"GZ And/","2 12 14.1","+44 39 34","10.8"
"V432 Per/","3 10 10.7","+42 52 9","11.0"
"AH Tau/","3 47 12","+25 6 59","11.2"
"EQ Tau/","3 48 13.4","+22 18 51","10.5"
"AO Cam/","4 28 13.6","+53 2 45","10.5"
"V714 Mon/","6 29 12.4","+4 44 40","11.5"
"CD Cam/","7 58 11","+72 45 52","11.6"
"GSC 1387/","8 31 27.8","+19 53 3","10.6"
"TX Cnc/","8 40 1.7","+18 59 59","10.0"
"EH Cnc/","8 26 18.4","+20 52 50","11.7"
"AA UMa/","9 46 59.3","+45 45 56","10.9"
"RT LMi/","9 49 48.3","+34 27 15","11.4"
"CE Leo/","11 44 24.3","+23 21 23","11.8"
"HH UMa/","11 4 48.1","+35 36 27","10.6"
"RZ Com/","12 35 5","+23 20 14","10.5"
"RW Com/","12 33 0.2","+26 42 58","11.0"
"CC Com/","12 12 6","+22 31 58","11.3"
"SS Com/","12 49 39","+18 42 11","11.0"
"AZ Vir/","13 43 25.6","+4 36 57","10.8"
"XY Boo/","13 49 11.5","+20 11 24","10.4"
"BI CVn/","13 3 16.4","+36 37 1","10.3"
"TY Boo/","15 0 46.9","+35 7 54","10.8"
"AC Boo/","14 56 28.3","+46 21 44","10.1"
"FU Dra/","15 34 45.2","+62 16 44","10.5"
"AU Ser/","15 56 49.5","+22 16 2","10.9"
"TZ Boo/","15 8 9.1","+39 58 13","10.5"
"V857 Her/","16 46 53.6","+38 38 58","10.0"
"V829 Her/","16 55 36.0","+35 13 54","10.3"
"V508 Oph/","17 58 48.6","+13 29 46","10.1"
"V728 Her/","17 18 4.3","+41 50 39","10.9"
"V1918 Cyg/","19 26 8.7","+52 26 48","10.6"
"CW Sge/","19 59 58","+19 10 45","11.1"
"V1191 Cyg/","20 16 50.8","+41 57 41","11.0"
"BX Peg/","21 38 49.4","+26 41 34","11.0"
"V344 Lac/","22 18 46.9","+51 59 15","12.2"
"PP Lac/","22 42 38.7","+53 25 3","11.8"
"BB Peg/","22 22 56.9","+16 19 28","10.8"
"LO And/","23 27 6.6","+45 33 22","11.2"
"V651 Cas/","23 48 33.5","+57 44 57","10.3"
"V776 Cas/","1 53 23.4","+70 2 33","8.9"
"V376 And/","2 35 11.6","+49 51 37","7.7"
"BX And/","2 9 3.4","+40 47 39","8.9"
"DN Cam/","4 42 46.2","+72 58 42","8.3"
"V402 Aur/","5 2 14.7","+31 15 49","8.8"
"AR Aur/","5 18 18.9","+33 46 2","6.2"
"V781 Tau/","5 50 13.1","+26 57 43","8.7"
"IM Mon/","06 23 01.5","-03 16 37","6.4"
"V1387 Ori/","6 9 25.2","+17 11 0","8.8"
"SV Cam/","6 41 19.1","+82 16 2","9.3"
"UV Lyn/","9 3 24.1","+38 5 55","9.4"
"WY Cnc/","9 1 55.5","+26 41 23","9.5"
"XY UMa/","9 9 55.9","+54 29 17","9.5"
"W UMa/","9 43 45.5","+55 57 9","7.8"
"FN Cam/","9 22 58","+77 13 11","8.6"
"EX Leo/","10 45 6.8","+16 20 16","8.3"
"Y Sex/","10 2 48","+1 5 40","9.9"
"UV Leo/","10 38 20.8","+14 16 4","8.9"
"VW LMi/","11 2 51.9","+30 24 55","8.1"
"HV UMa/","11 55 38","+47 15 27","8.6"
"AM Leo/","11 2 10.9","+9 53 43","9.3"
"AG Vir/","12 1 3.5","+13 0 30","8.4"
"AH Vir/","12 14 21","+11 49 9","8.9"
"PY Vir/","13 10 32.2","-4 9 33","9.6"
"TV UMi/","15 0 59.7","+73 3 11","8.7"
"FI Boo/","15 22 6","+51 10 55","9.6"
"OU Ser/","15 22 43.5","+16 15 41","8.3"
"YY CrB/","15 50 32.4","+37 50 8","8.7"
"V624 Her/","17 44 17.2","+14 24 36","6.2"
"V2610 Oph/","17 53 32.3","-3 54 55","9.2"
"V2388 Oph/","17 54 14.2","+11 07 50","6.2"
"V2612 Oph/","18 29 13","+6 47 14","9.5"
"VW Cep/","20 37 21.5","+75 36 1","7.5"
"LS Del/","20 57 10.3","+19 38 59","8.6"
"ER Vul/","21 2 25.9","+27 48 26","7.3"
"SW Lac/","22 53 41.7","+37 56 19","8.9"
"AT Peg/","22 13 23.5","+8 25 31","9.0"
"DI Peg/","23 32 14.7","+14 58 9","9.4"
"RT And/","23 11 10.1","+53 1 33","9.0"
"AB And/","23 11 32.1","+36 53 35","9.5"
"V357 Peg/","23 45 35.1","+25 28 19","9.0"
"V351 Peg/","23 25 25.2","+15 41 19","8.0"
"U Peg/","23 57 58.5","+15 57 10","9.3"
"BS Cas/","01 21 38.57","+59 10 27.1","11.6"
"GW Cep/","01 45 58.58","+80 04 55.3","11.4"
"EE Cet/","02 49 52.26","+08 56 18.0","8.7"
"CT Tau/","05 58 50.10","+27 04 41.9","10.3"
"V753 Mon/","07 10 57.85","-03 52 43.2","8.3"
"NR Cam/","07 54 30.58","+78 06 45.4","10.8"
"AW UMa/","11 30 04.27","+29 57 51.3","6.8"
"II UMa/","12 32 54.84 54","+47 43.3","8.2"
"HT Vir/","13 46 06.74","+05 06 55.8","7.1"
"DU Boo/","14 22 17.73","+41 27 02.3","8.6"
"V921 Her/","16 49 31.25","+47 06 29.0","9.4"
"AK Her/","17 13 58.00","+16 20 51.0","8.3"
"UX Her/","17 54 07.85","+16 56 37.8","9.0"
"V566 Oph/","17 56 52.40","+04 59 10.0","7.5"
"EF Dra/","18 05 30.43","+69 45 16.6","10.5"
"BE Dra/","18 25 56.92","+68 57 43.5","11.4"
"V401 Cyg/","19 29 20.27","+30 24 28.5","11.0"
"CG Cyg/","20 58 13.45","+35 10 29.7","10.0"
"V376 Peg/","22 03 09.60","+18 52 48.0","7.7"
"WZ Cep/","23 22 24.22","72 54 56.7","11.0"
"V1159 Ori/","05 28 59.5","-03 33 53","13.0"
"OT J1126/","11 26 19.4","+08 46 51","14.0"
"V452 Cas/","00 52 18.0","+53 51 50","15.0"
"OT J0201/","02 01 06.3","+11 55 04","16.0"
"OT J0620/","06 20 19.2","+36 25 11","16.5"
"PNV J2308/","23 08 04.7","+60 46 52","10.3"
"GZ Cnc/","08 55 21.2","+11 18 15","12.0"
"OT J0754/","07 54 18.7","+38 12 25","15.0"
"AS Psc/","01 28 08.4","+31 14 57","13.5"
"GR Ori/","05 21 35.5","+01 10 11","15.5"
"SDSS J0751/","07 51 07.5","+30 06 28","15.5"
"OV Dra/","12 50 23.8","+66 55 25","15.5"
"OT J1734/","17 34 32.5","+43 42 19","16.0"
"TT Boo/","14 57 44.7","+40 43 40","12.5"
"MR UMa/","11 31 22.4","+43 22 38","13.5"
"OT J0647/","06 47 25.8","+49 15 43","13.5"
"QZ Ser/","15 56 54.51","+21 07 19.4","13.0"
"OT J1652/","16 52 36.3","+46 05 15","15.0"
"SU UMa/","08 12 28.3","+62 36 22","12.0"
"AL Com/","12 32 25.8","+14 20 43","12.7"
"QZ Vir/T Leo","11 38 26.81","+03 22 06.8","11.0"
"OT J0514/","05 14 15.5","+67 11 20","14.5"
"OT J0627/","06 27 03.7","+39 52 48","11.0"
"OT J0819/","08 19 36.1","+19 15 39","16.0"
"CI UMa/","10 18 13.1","+71 55 44","15.0"
"OT J1117/","11 17 59.8","+76 51 31","14.5"
"CY UMa/","10 56 57.0","+49 41 18","13.0"
"OT J1107/","11 07 13.6","+13 33 36","16.0"
"OT J1759/","17 59 08.6","+14 51 31","14.5"
"CSS J1740/CSS J174033.5+414756","17 40 33.4","+41 47 56","14.0"
"OT J0947/","09 47 59.8","+06 10 44","14.0"
"PNV J1915/PNV J19150199+0719471","19 15 02.03","+07 19 46.7","11.0"
"OT J2126/MASTER OT J212624.16+253827.2","21 26 24.15","+25 38 27.2","14.0"
"ASASSN-13ao/","12 43 12.05","+43 31 59.9","15.1"
"ASASSN-13as/","17 23 06.36","+17 57 55.9","15.1"
"ASASSN-13at/","18 21 22.49","+61 48 56.0","14.5"
"OTJ1748/MASTER OT J174816.22+501723.3","17 48 16.22","+50 17 23.3","15.5"
"ASASSN-13ax/","18 00 05.78","+52 56 35.3","13.5"
"ASASSN-13br/","17 03 43.01","+66 07 45.5","13.5"
"ASASSN-14cl/","21 54 57.68","+26 41 12.7","10.7"
"ASASSN-14cm/","15 45 31.72","+01 02 27.8","13.3"
"SW UMa/","08 36 42.70","+53 28 38.0","11.0"
"OTJ1819/MASTER OT J181953.76+361356.5","18 19 53.76","+36 13 56.5","14.0"
"V660 Her/","17 42 09.10","+23 48 30.0","14.5"
"UZ Boo/","14 44 01.20","+22 00 55.0","12.8"
"OTJ1749/MASTER OT J174902.10+191331.2","17 49 02.1","+19 13 31.2","14.5"
