"# Observations","Air Mass","Altitude","Annotations","Apparent Mag","Avg. Rating","Avg. Rating (Numeric)","Azimuth","Best Eyepiece","Best Magnification","Best Time","Catalogue","Catalogue Notes","Chart #","Components","Constellation","Dark Time Duration","Dark Time End","Dark Time Start","Date of Opposition","Dec","Difficulty Index","Ecliptic Latitude","Ecliptic Longitude","Extinction","Found","Galactic Latitude","Galactic Longitude","Heliocentric JDate","Hour Angle","ID","Log Object Contrast","Lord's Rating","Magnitude","Magnitude2","Moon Distance","Name","Observability","ODM","Parallactic Angle","PCW Level","Period","Plan Seq #","Pos.Angle","Probability","Probability 2","RA","Rise Time","Separation","Set Time","Size","Spectral","Splitability","Splittable Aperture","Sun Distance","Surface Brightness","Transit Altitude","Transit Date","Transit Time","Type","User Notes","Visible"
"0","1.0043227","84.68","","","","0","210.15","","0","19h 15m 00s","NGC","","8","","Cyg","8.966632","05h 10m 47s","20h 12m 47s","2020-08-14","44.33333","-999","57.5","339.46","0.2359212","No","-0.98","85.51","0.0022924","00h 14m 56s","C20","999","","","","80.85","NGC7000","47.9494757","n/a","27.43","2","0","21","0","-1","0","20.979999","-01h 00m 00s","","-01h 00m 00s","120","","No","0","113.39","999","85.33","2020-08-15 11:50:04","20h 00m 50s","E Neb","F, eeL, dif nebulosity","Limit"
"0","4.5928059","12.34","","10.474","","0","326.53","21mm (48X)","27.5","19h 15m 00s","NGC","","6","","CVn","8.966632","05h 10m 47s","20h 12m 47s","2020-04-06","44.1","-999","42.34","164.63","1.0740474","No","72.4","136.84","-0.0034006","08h 45m 32s","C21","-1.3464662","","9.4","","116.18","NGC4449","37.7879547","28x","30.26","2","0","22","45","100","0","12.47","-01h 00m 00s","","-01h 00m 00s","5","","No","0","53.93","21.5661654","85.1","2020-04-07 15:07:57","11h 30m 14s","Galaxy","vB, cL, mE, D or bifid, rrr, *9 f 5'","Yes"
"0","1.0920888","66.28","","9.255","","0","93.2","21mm (48X)","27.5","19h 15m 00s","NGC","","8","","And","8.966632","05h 10m 47s","20h 12m 47s","2020-09-21","42.55","-999","41.6","13.04","0.2554421","No","-17.59","106.57","0.0042684","-02h 12m 10s","C22","-0.4561712","","9","","54.34","NGC7662","47.6078735","28x","-62.77","1","0","23","0","100","0","23.431667","-01h 00m 00s","","-01h 00m 00s","2","","No","0","137.65","19.3404279","83.55","2020-09-21 21:44:00","22h 27m 56s","P Neb","!!! PN  or ring , vB, pS, R, blue, variable Nucl","Limit"
"0","1.6216844","38","","10.378","","0","66.16","21mm (48X)","27.5","19h 15m 00s","NGC","","3","","And","8.966632","05h 10m 47s","20h 12m 47s","2019-10-27","42.35","-999","26.54","47.84","0.3783659","No","-17.41","140.39","0.0046438","-05h 08m 52s","C23","-2.4319933","","10","","31.95","NGC891","45.843334","27x","-54.29","2","0","24","0","100","0","2.376667","-01h 00m 00s","","-01h 00m 00s","13","","No","0","143.52","24.2799834","83.35","2019-11-05 14:33:00","01h 24m 38s","Galaxy","! B, vL, vmE 22deg","Limit"
"0","2.0462395","29.16","","12.075","","0","59","21mm (48X)","27.5","19h 15m 00s","NGC","","3","","Per","8.966632","05h 10m 47s","20h 12m 47s","2019-11-05","41.51667","-999","22.35","58.61","0.4745865","No","-13.26","150.57","0.0042786","-06h 06m 04s","C24","-1.6412725","","11.6","","31.21","NGC1275","44.5778718","27x","-48.68","3","0","25","110","100","0","3.33","-01h 00m 00s","","-01h 00m 00s","2","","No","0","137.8","22.3031813","82.52","2019-11-20 03:41:55","02h 21m 50s","Galaxy","F, S","Limit"
"0","999","0.39","","18.423","","0","18.39","21mm (48X)","27.5","05h 30m 00s","NGC","","4","","Lyn","8.966632","05h 10m 47s","20h 12m 47s","2020-01-09","38.88334","-999","17.11","109.76","8.022651","No","25.23","180.37","0.0001991","-10h 24m 22s","C25","-1.5568935","","10.4","","69.12","NGC2419","0","27x","-15.42","3","0","26","0","100","0","7.635","16h 50m 00s","","15h 54m 00s","4","","No","0","91.97","22.0922338","79.88","2020-01-24 20:21:43","06h 40m 08s","Globular","pB, pL, lE 90deg , vgbM, *7-8 267deg , 4' dist","Limit"
"0","8.9896523","5.87","","12.306","","0","325.2","21mm (48X)","27.5","19h 15m 00s","NGC","","6","","CVn","1.2244446","21h 26m 15s","20h 12m 47s","2020-03-26","37.81667","-999","35.91","166.54","2.1063445","No","77.15","154.54","-0.0038183","08h 56m 14s","C26","-2.6703558","","10.2","","119.51","NGC4244","26.0578101","27x","28.29","2","0","27","48","100","0","12.291667","01h 01m 00s","","21h 28m 00s","16","","No","0","48.62","24.8758896","78.82","2020-04-04 21:49:11","11h 19m 32s","Galaxy","pB, vL, eE 43deg , vgbM","Horz"
"0","1.037039","74.63","","","","0","231.93","","0","19h 15m 00s","NGC","","8","","Cyg","8.966632","05h 10m 47s","20h 12m 47s","2020-08-02","38.35","-999","56.19","320.14","0.2433736","No","2.44","75.46","0.0015238","01h 01m 44s","C27","999","","","","90.57","NGC6888","47.8571122","n/a","41.19","3","0","28","42","-1","0","20.200001","08h 50m 00s","","05h 35m 00s","20","","No","0","105.3","999","79.35","2020-08-03 14:10:04","19h 14m 02s","E Neb","F, vL, vmE, **  att","Limit"
"0","1.5844252","39.07","","6.069","","0","74.56","21mm (48X)","27.5","19h 15m 00s","NGC","","3","","And","8.966632","05h 10m 47s","20h 12m 47s","2019-10-28","37.68333","-999","23.96","41.05","0.3685615","No","-23.35","137.18","0.0049835","-04h 44m 04s","C28","-1.8492658","","5.7","","29.19","NGC752","45.9214123","27x","-53.04","2","0","29","0","100","0","1.963333","10h 54m 00s","","09h 50m 00s","50","","No","0","149.64","22.8231645","78.68","2019-10-30 07:10:15","00h 59m 50s","Open","Cl, vvL, Ri, st L & sc","Limit"
"0","5.21052","10.8","","11.019","","0","315.69","21mm (48X)","27.5","19h 15m 00s","NGC","","6","","CVn","0.7244446","20h 56m 15s","20h 12m 47s","2020-04-18","37.05","-999","40.5","178.74","1.218816","No","79.26","101.63","-0.0040402","08h 02m 50s","C29","-1.5561133","","9.8","","126.6","NGC5005","36.0900736","27x","35.04","2","0","30","65","100","0","13.181666","02h 13m 00s","","20h 58m 00s","5","","No","0","45.61","22.0902833","78.05","2020-04-18 11:46:23","12h 12m 56s","Galaxy","vB, vL, vmE 66deg , vsbMN","Yes"
